r	m_truth	s1_truth	s2_truth	name	median	lower	upper
0	0.3	0.1	0.1	origin	10.121846197048438	8.27098864793237	12.825282605394417
0	0.3	0.1	0.1	R0Values	1.4426505016063746	1.2268840240244128	1.9983239964986912
0	0.3	0.1	0.1	rep	3	1	5
0	0.3	0.1	0.1	sampPropValues	0.16893349908683014	0.062041317369551166	0.38304403951520943
0	0.3	0.1	0.2	origin	9.78481467125705	7.008008463440248	12.582548038466417
0	0.3	0.1	0.2	R0Values	1.4276608858315247	1.2316044190689492	1.749736300159388
0	0.3	0.1	0.2	rep	3	1	5
0	0.3	0.1	0.2	sampPropValues	0.1404727364825039	0.060347315864001216	0.2614564352421318
0	0.3	0.2	0.1	origin	9.999343868191879	8.889065844733206	12.80622687149145
0	0.3	0.2	0.1	R0Values	1.4500828561836263	1.0636610166658156	1.8789596113140732
0	0.3	0.2	0.1	rep	3	1	5
0	0.3	0.2	0.1	sampPropValues	0.13849554180542872	0.05035585029987101	0.2401983466693362
0	0.3	0.2	0.2	origin	10.157465370447168	8.75789711402696	13.236936444439184
0	0.3	0.2	0.2	R0Values	1.3654260435009526	1.0417000489137995	1.782091332381826
0	0.3	0.2	0.2	rep	3	1	5
0	0.3	0.2	0.2	sampPropValues	0.1360638042610513	0.05727843443734326	0.23107060775694208
0	0.8	0.1	0.1	origin	10.270999382145998	9.110879283260573	12.966101621508987
0	0.8	0.1	0.1	R0Values	1.4068014243895202	1.0287382522634565	1.6714092404373457
0	0.8	0.1	0.1	rep	3	1	5
0	0.8	0.1	0.1	sampPropValues	0.17379590420332316	0.06612542542739903	0.30291199402294977
0	0.8	0.1	0.2	origin	10.010094833986962	7.777763960052994	12.768344210194215
0	0.8	0.1	0.2	R0Values	1.3897150089746706	1.0801413092224015	1.6252482924806233
0	0.8	0.1	0.2	rep	3	1	5
0	0.8	0.1	0.2	sampPropValues	0.14123719678347077	0.07824035644184127	0.3009012190314503
0	0.8	0.2	0.1	origin	10.084732818825502	9.01561877527508	12.716932942271914
0	0.8	0.2	0.1	R0Values	1.4366771771451208	1.1848113726292264	1.7977972052214524
0	0.8	0.2	0.1	rep	3	1	5
0	0.8	0.2	0.1	sampPropValues	0.16939876592454245	0.07001708313931472	0.2650168716551101
0	0.8	0.2	0.2	origin	9.970324534424561	8.130181946701953	13.18493006874227
0	0.8	0.2	0.2	R0Values	1.3397703401763392	0.9606123583490583	1.6688639380809187
0	0.8	0.2	0.2	rep	3	1	5
0	0.8	0.2	0.2	sampPropValues	0.15242844616132734	0.059921498984826474	0.32513109702680226
1	0.3	0.1	0.1	origin	10.027619849976771	8.398313806719537	12.599474531947287
1	0.3	0.1	0.1	R0Values	1.3395430316653507	0.9452584741048236	1.999509645037846
1	0.3	0.1	0.1	rep	3	1	5
1	0.3	0.1	0.1	sampPropValues	0.20844871712836754	0.10033714388189502	0.5439094311935724
1	0.3	0.1	0.2	origin	10.17224119637951	9.113484562899323	13.147582499558386
1	0.3	0.1	0.2	R0Values	1.4112558512793298	1.0492230728464615	1.6662397102369266
1	0.3	0.1	0.2	rep	3	1	5
1	0.3	0.1	0.2	sampPropValues	0.14267381368663717	0.06110197396822323	0.21893822939931146
1	0.3	0.2	0.1	origin	9.60412976226835	8.33402133681753	12.209744157564284
1	0.3	0.2	0.1	R0Values	1.26387949146708	0.9871135594128417	1.5147482543526953
1	0.3	0.2	0.1	rep	3	1	5
1	0.3	0.2	0.1	sampPropValues	0.22888177184507275	0.10237891647187818	0.43885614556346386
1	0.3	0.2	0.2	origin	10.122678708253542	8.625261132860253	12.860632472330579
1	0.3	0.2	0.2	R0Values	1.3803072226970388	1.1347024230341818	1.5872763045590554
1	0.3	0.2	0.2	rep	3	1	5
1	0.3	0.2	0.2	sampPropValues	0.1636190580921797	0.06470868295026702	0.25914203241820966
1	0.8	0.1	0.1	origin	10.215634437032797	9.357648306614035	12.976515365046243
1	0.8	0.1	0.1	R0Values	1.3561718454355485	1.023956548775427	1.550543497401704
1	0.8	0.1	0.1	rep	3	1	5
1	0.8	0.1	0.1	sampPropValues	0.18197282517937519	0.07750499454153316	0.35309268242985514
1	0.8	0.1	0.2	origin	10.237961617309747	7.119548727775133	13.082106971293374
1	0.8	0.1	0.2	R0Values	1.3297577246606187	1.0139928172806536	1.6056943965682458
1	0.8	0.1	0.2	rep	3	1	5
1	0.8	0.1	0.2	sampPropValues	0.1940651509088227	0.0800238665790147	0.34871401012074554
1	0.8	0.2	0.1	origin	10.092978028548128	8.357115918731356	12.81535304627003
1	0.8	0.2	0.1	R0Values	1.3510512196229467	1.0687218102573657	1.6288556913904833
1	0.8	0.2	0.1	rep	3	1	5
1	0.8	0.2	0.1	sampPropValues	0.1715328597348504	0.054287303626721364	0.24540318845394238
1	0.8	0.2	0.2	origin	9.965164184988346	7.420588385496192	12.836436454869784
1	0.8	0.2	0.2	R0Values	1.2769098043807143	0.88096431688919985	1.631442877160183
1	0.8	0.2	0.2	rep	3	1	5
1	0.8	0.2	0.2	sampPropValues	0.20756475521212048	0.08342736835995063	0.42181475000595975
